,*************************************************************************************,,,,,,,,,,,,,,,
,PathTrack Archival Tracking System Results File,,,,,,,,,,,,,,,
,Created 01.08.23 11:29 AM,,,,,,,,,,,,,,,
,DO NOT MODIFY THIS HEADER,,,,,,,,,,,,,,,
,*************************************************************************************,,,,,,,,,,,,,,,
Order,Day,Month,Year,Hour,Minute,Second,Battery,SVs tracked,latitude,longitude,Height,,,,,
1,13,7,23,14,46,38,53198.9,0,0,0,0,9999.999,9999.999,4.04,0,20
2,13,7,23,15,1,38,54098.9,0,0,0,0,9999.999,9999.999,4.04,0,20
3,13,7,23,15,16,38,54998.9,0,0,0,0,9999.999,9999.999,4.02,0,20
4,13,7,23,15,31,38,55898.9,0,0,0,0,9999.999,9999.999,4.02,0,20
5,13,7,23,15,46,38,56798.9,0,0,0,0,9999.999,9999.999,4.02,0,20
6,13,7,23,16,1,38,57698.9,0,0,0,0,9999.999,9999.999,4.02,0,20
7,13,7,23,16,16,38,58598.9,0,0,0,0,9999.999,9999.999,4.02,0,20
8,13,7,23,16,31,38,59498.9,0,0,0,0,9999.999,9999.999,4.02,0,20
9,13,7,23,16,46,38,60398.9,0,0,0,0,9999.999,9999.999,4.02,0,20
10,13,7,23,17,1,38,61298.9,0,0,0,0,9999.999,9999.999,4.02,0,20
11,13,7,23,17,16,38,62198.9,0,0,0,0,9999.999,9999.999,4.02,0,20
12,13,7,23,17,31,38,63098.9,0,0,0,0,9999.999,9999.999,4.02,0,20
13,13,7,23,17,46,38,63998.9,3,0,0,0,9999.999,9999.999,4,0,20
14,13,7,23,18,3,20,65000.78,9,48.125013,-122.92107,-16.75,9999.999,4.39E-06,4.02,0,20
15,13,7,23,18,20,22,66022.79,6,48.123759,-122.920372,-8,3.785,2.92E-06,4.02,0,20
16,13,7,23,18,37,20,67040.815,7,48.12282,-122.919054,-1.75,3.245,1.92E-06,4.02,0,20
17,13,7,23,18,54,25,68065.775,5,48.134989,-122.909227,-7.75,3.025,1.01E-06,4.02,0,20
18,13,7,23,19,11,32,69092.765,7,48.169576,-122.939586,2.5,3.66,2.55E-06,4.02,0,20
19,13,7,23,19,28,21,70101.8,9,48.169822,-122.943556,-5,3.6,1.68E-06,4.02,0,20
20,13,7,23,19,45,22,71122.85,8,48.167407,-122.935832,-3.5,2.795,2.36E-06,4.02,0,20
21,13,7,23,20,2,22,72142.855,7,48.164533,-122.928179,-11.75,2.45,1.41E-06,4,0,20
22,13,7,23,20,19,23,73163.77,8,48.172869,-122.940188,-7.5,3.14,2.42E-06,4.02,0,20
23,13,7,23,20,36,23,74183.77,7,48.176326,-122.94656,-7,4.115,5.04E-07,4.02,0,20
24,13,7,23,20,53,23,75203.875,7,48.173781,-122.942648,-8.25,9999.999,3.20E-06,4.02,0,20
25,13,7,23,21,10,25,76225.845,7,48.174774,-122.945291,-2.5,2.86,1.66E-06,4.02,0,20
26,13,7,23,21,27,25,77245.85,7,48.174092,-122.9446,6.5,9999.999,1.35E-06,4.02,0,20
27,13,7,23,21,44,26,78266.85,8,48.170172,-122.94335,5.25,2.85,5.06E-06,4.02,0,20
28,13,7,23,22,1,44,79304.85,0,0,0,0,9999.999,9999.999,4.02,0,20
29,13,7,23,22,18,44,80324.85,0,0,0,0,9999.999,9999.999,4.02,0,20
30,13,7,23,22,35,44,81344.85,0,0,0,0,9999.999,9999.999,4.02,0,20
31,13,7,23,22,52,27,82347.86,7,48.167022,-122.942681,-9.5,2.85,4.09E-06,4,0,20
32,13,7,23,23,9,45,83385.85,0,0,0,0,9999.999,9999.999,4.02,0,20
33,13,7,23,23,26,28,84388.94,5,48.16952,-122.939463,55.75,3.4,8.41E-07,4.02,0,20
34,13,7,23,23,43,46,85426.4,0,0,0,0,9999.999,9999.999,4,0,20
35,14,7,23,0,0,46,46.4,0,0,0,0,9999.999,9999.999,4,0,20
36,14,7,23,0,17,45,1065.86,4,48.170601,-122.941367,-9,9999.999,4.95E-07,4,0,20
37,14,7,23,0,34,28,2068.84,6,48.174011,-122.945846,-15.25,3.35,2.41E-06,4,0,20
38,14,7,23,0,51,30,3090.92,6,48.176259,-122.947858,-14,3.855,4.37E-07,4,0,20
39,14,7,23,1,8,46,4126.855,0,0,0,0,9999.999,9999.999,4.02,0,20
40,14,7,23,1,25,29,5129.865,5,48.176648,-122.948689,-79.75,4.145,8.08E-07,4,0,20
