,*************************************************************************************,,,,,,,,,,,,,,,
,PathTrack Archival Tracking System Results File,,,,,,,,,,,,,,,
,Created 01.08.23 11:46 AM,,,,,,,,,,,,,,,
,DO NOT MODIFY THIS HEADER,,,,,,,,,,,,,,,
,*************************************************************************************,,,,,,,,,,,,,,,
Order,Day,Month,Year,Hour,Minute,Second,Battery,SVs tracked,latitude,longitude,Height,,,,,
1,13,7,23,4,31,31,16291.56,0,0,0,0,9999.999,9999.999,4.14,0,20
2,13,7,23,4,46,31,17191.56,0,0,0,0,9999.999,9999.999,4.14,0,20
3,13,7,23,5,1,31,18091.56,0,0,0,0,9999.999,9999.999,4.14,0,20
4,13,7,23,5,16,31,18991.56,0,0,0,0,9999.999,9999.999,4.14,0,20
5,13,7,23,5,31,31,19891.56,0,0,0,0,9999.999,9999.999,4.14,0,20
6,13,7,23,5,46,31,20791.56,0,0,0,0,9999.999,9999.999,4.14,0,20
7,13,7,23,6,1,31,21691.56,0,0,0,0,9999.999,9999.999,4.14,0,20
8,13,7,23,6,16,31,22591.56,0,0,0,0,9999.999,9999.999,4.14,0,20
9,13,7,23,6,31,31,23491.56,0,0,0,0,9999.999,9999.999,4.12,0,20
10,13,7,23,6,46,31,24391.56,0,0,0,0,9999.999,9999.999,4.14,0,20
11,13,7,23,7,1,31,25291.56,0,0,0,0,9999.999,9999.999,4.12,0,20
12,13,7,23,7,16,21,26181.91,5,48.127194,-122.923233,3.75,9999.999,1.55E-07,4.12,0,20
13,13,7,23,7,33,13,27193.56,7,48.13277,-122.906792,-9,5.235,3.35E-06,4.12,0,20
14,13,7,23,7,50,13,28213.565,8,48.131896,-122.904372,-7.75,5.4,3.70E-06,4.14,0,20
15,13,7,23,8,7,13,29233.57,7,48.131082,-122.901653,-5.75,5.65,3.76E-06,4.12,0,20
16,13,7,23,8,24,13,30253.57,7,48.129168,-122.900354,4.25,5.695,3.77E-06,4.12,0,20
17,13,7,23,8,41,17,31277.525,5,48.125476,-122.89828,17,5.57,7.10E-07,4.12,0,20
18,13,7,23,8,58,16,32296.57,6,48.124035,-122.895719,-18,5.485,6.14E-06,4.12,0,20
19,13,7,23,9,15,15,33315.595,6,48.122346,-122.894777,-30,5.54,1.92E-06,4.12,0,20
20,13,7,23,9,32,12,34332.56,7,48.120647,-122.896052,0,5.605,5.72E-06,4.12,0,20
21,13,7,23,9,49,12,35352.545,7,48.119297,-122.898633,-30.75,5.585,3.07E-06,4.12,0,20
22,13,7,23,10,6,12,36372.555,7,48.118424,-122.901538,-29.5,5.54,6.26E-06,4.12,0,20
23,13,7,23,10,23,12,37392.56,8,48.116755,-122.904453,-19.75,5.535,5.13E-06,4.12,0,20
24,13,7,23,10,40,12,38412.575,7,48.114074,-122.908385,-14,5.565,5.59E-06,4.1,0,20
25,13,7,23,10,57,12,39432.585,8,48.114314,-122.90819,-16.75,5.595,5.13E-06,4.12,0,20
26,13,7,23,11,14,12,40452.575,8,48.123831,-122.868442,-42,5.595,3.24E-06,4.12,0,20
27,13,7,23,11,31,12,41472.595,6,48.155098,-122.740106,-48,5.585,2.92E-06,4.12,0,20
28,13,7,23,11,48,12,42492.615,6,48.167824,-122.758867,-61.25,5.6,1.09E-06,4.12,0,20
29,13,7,23,12,5,12,43512.57,6,48.179998,-122.779476,-4.25,5.6,3.87E-06,4.12,0,20
30,13,7,23,12,22,13,44533.52,5,48.18975,-122.801295,8,5.545,9.53E-07,4.12,0,20
31,13,7,23,12,39,13,45553.675,5,48.203,-122.822794,52.75,5.57,6.54E-07,4.12,0,20
32,13,7,23,12,56,14,46574.59,6,48.215757,-122.812761,-21,5.645,4.68E-06,4.12,0,20
33,13,7,23,13,13,14,47594.615,6,48.226464,-122.835391,-20.5,5.64,3.62E-06,4.1,0,20
34,13,7,23,13,30,14,48614.59,6,48.237315,-122.854558,-33,5.6,4.20E-06,4.12,0,20
35,13,7,23,13,47,12,49632.57,7,48.249905,-122.871882,38.25,5.56,1.21E-05,4.12,0,20
36,13,7,23,14,4,14,50654.6,6,48.253512,-122.884702,-50,5.565,2.11E-06,4.12,0,20
37,13,7,23,14,21,16,51676.575,5,48.256988,-122.893227,-54,5.59,3.58E-07,4.12,0,20
38,13,7,23,14,38,12,52692.6,7,48.260084,-122.898391,-18.75,5.6,2.53E-06,4.1,0,20
39,13,7,23,14,55,14,53714.58,6,48.262688,-122.902056,-34,5.595,1.15E-06,4.12,0,20
40,13,7,23,15,12,14,54734.595,6,48.265648,-122.903615,-28.75,5.585,2.03E-06,4.1,0,20
41,13,7,23,15,29,20,55760.985,5,48.269324,-122.904481,-42.25,5.285,3.88E-07,4.1,0,20
42,13,7,23,15,46,13,56773.595,6,48.271895,-122.904438,-84.75,5.14,1.15E-06,4.1,0,20
43,13,7,23,16,3,13,57793.63,8,48.27416,-122.904404,-10.25,5.54,5.38E-06,4.1,0,20
44,13,7,23,16,20,13,58813.63,6,48.276712,-122.905014,-86.25,5.83,6.96E-07,4.1,0,20
45,13,7,23,16,37,14,59834.64,6,48.279698,-122.904809,-71.5,5.78,1.19E-06,4.1,0,20
46,13,7,23,16,54,13,60853.63,7,48.282956,-122.902048,-37.25,5.61,2.14E-06,4.1,0,20
