,*************************************************************************************,,,,,,,,,,,,,,,
,PathTrack Archival Tracking System Results File,,,,,,,,,,,,,,,
,Created 01.08.23 12:05 PM,,,,,,,,,,,,,,,
,DO NOT MODIFY THIS HEADER,,,,,,,,,,,,,,,
,*************************************************************************************,,,,,,,,,,,,,,,
Order,Day,Month,Year,Hour,Minute,Second,Battery,SVs tracked,latitude,longitude,Height,,,,,
1,13,7,23,4,31,29,16289.59,0,0,0,0,9999.999,9999.999,4.14,0,20
2,13,7,23,4,46,29,17189.59,0,0,0,0,9999.999,9999.999,4.14,0,20
3,13,7,23,5,1,29,18089.59,0,0,0,0,9999.999,9999.999,4.14,0,20
4,13,7,23,5,16,29,18989.59,0,0,0,0,9999.999,9999.999,4.14,0,20
5,13,7,23,5,31,29,19889.59,0,0,0,0,9999.999,9999.999,4.14,0,20
6,13,7,23,5,46,29,20789.59,0,0,0,0,9999.999,9999.999,4.14,0,20
7,13,7,23,6,1,29,21689.59,0,0,0,0,9999.999,9999.999,4.14,0,20
8,13,7,23,6,16,29,22589.59,0,0,0,0,9999.999,9999.999,4.14,0,20
9,13,7,23,6,31,29,23489.59,0,0,0,0,9999.999,9999.999,4.14,0,20
10,13,7,23,6,46,29,24389.59,0,0,0,0,9999.999,9999.999,4.14,0,20
11,13,7,23,7,1,29,25289.59,0,0,0,0,9999.999,9999.999,4.14,0,20
12,13,7,23,7,16,29,26189.59,0,0,0,0,9999.999,9999.999,4.12,0,20
13,13,7,23,7,31,29,27089.59,1,0,0,0,9999.999,9999.999,4.12,0,20
14,13,7,23,7,46,11,27971.62,8,48.117803,-122.90886,-14.75,9999.999,3.62E-06,4.12,0,20
15,13,7,23,8,1,11,28871.62,7,48.1151,-122.908013,-10,5.62,6.68E-06,4.12,0,20
16,13,7,23,8,16,15,29775.65,5,48.111445,-122.910907,88.75,5.65,4.27E-07,4.12,0,20
17,13,7,23,8,31,15,30675.64,5,48.107721,-122.915063,-17.5,5.66,3.13E-06,4.12,0,20
18,13,7,23,8,46,13,31573.63,6,48.105814,-122.919982,-16.25,5.64,5.91E-06,4.12,0,20
19,13,7,23,9,1,13,32473.65,6,48.103996,-122.919943,-36.75,5.63,1.38E-06,4.12,0,20
20,13,7,23,9,16,13,33373.65,6,48.103035,-122.923166,-34.75,5.645,1.94E-06,4.12,0,20
21,13,7,23,9,31,15,34275.655,5,48.104125,-122.926503,-53,5.66,2.63E-07,4.12,0,20
22,13,7,23,9,46,15,35175.61,6,48.106448,-122.929403,-24.75,5.64,2.45E-06,4.12,0,20
23,13,7,23,10,1,11,36071.64,7,48.107884,-122.932384,-13,5.615,4.24E-06,4.12,0,20
24,13,7,23,10,18,12,37092.605,9,48.10954,-122.938322,-27.75,5.61,5.89E-06,4.12,0,20
25,13,7,23,10,35,13,38113.64,7,48.110476,-122.948463,-34.75,5.62,4.05E-06,4.12,0,20
26,13,7,23,10,52,14,39134.64,6,48.111026,-122.960891,-32,5.645,5.26E-06,4.12,0,20
27,13,7,23,11,9,14,40154.645,6,48.11309,-122.978037,-36,5.655,5.37E-06,4.12,0,20
