PARENTSITE,PARENTSITE_ID,SUBSITE,SUBSITE_ID,MML_ID,BEACH_NO,FROM_TO,NO_RPT,REGION,REGNO,RCA,E_W_144,ROOK,TREND_70,TREND_90,TREND_00,CH_93R,PUPS_50,CH_PROPOSEDR,CH_93HO,NP_BRD_200,NP_NONBRD_100,CH_PROPOSEDHO,LAT,LON,HEM,SITE_ORIG/A-B,COMPLEX_ORIG,PUP,JUV,GPSID,IS_NO,SITE_NO,SEQ_NO,REDUNDANT,SUBSTR_CODE,SUBSTR_DESCR,ORIENT,NOTES,,
SEGUAM/TURF POINT,511,SEGUAM/WHARF POINT,H,373,,,1,C ALEU,10,5,W,0,1,1,0,,,,,,1,1,52.359,-172.316,W,SEGUAM/WHARF POINT,SEGUAM/TURF POINT,,1,WHARF,153,7,247,,,,E,,,
SEGULA/CHUGUL POINT,223,SEGULA/CHUGUL POINT,A,446,,,1,C ALEU,10,2,W,0,0,0,0,,,,,,1,1,51.998,178.097,E,SEGULA/CHUGUL POINT,,,,SEGCH,909,2,308,,,,,,,
SEGULA/GULA POINT,224,SEGULA/GULA POINT,A,445,,,1,C ALEU,10,2,W,0,0,0,0,,,,1,,1,1,52.051,178.147,E,SEGULA/GULA POINT,,,,SEGGU,909,1,307,,,,,,,
SEMISOPOCHNOI/PETREL,225,SEMISOPOCHNOI/PETREL,A,430A,1,FROM,1,C ALEU,10,2,W,0,0,1,1,1,,,,,1,1,52.023,179.615,E,SEMISOPOCHNOI/PETREL/A,SEMISOPOCHNOI/PETREL,,,PTRL1,819,2,292.4,2,3,BOULDER BE,E,,,
SEMISOPOCHNOI/PETREL,225,SEMISOPOCHNOI/PETREL/B,B,430B,2,TO,0,C ALEU,10,2,W,0,0,1,1,1,,,,,1,1,52.025,179.650,E,SEMISOPOCHNOI/PETREL/B,SEMISOPOCHNOI/PETREL,,,PTRL1,819,2,292.4,2,3,BOULDER BE,E,,,
SEMISOPOCHNOI/POCHNOI,226,SEMISOPOCHNOI/POCHNOI,A,429,,,1,C ALEU,10,2,W,0,0,1,1,1,,,,1,1,1,51.955,179.767,E,SEMISOPOCHNOI/POCHNOI,,1,,POCHN,819,1,292.2,2,4,SLAB-ROCK ,E,,,
SEMISOPOCHNOI/SW KNOB,227,SEMISOPOCHNOI/SW KNOB,A,432,,,1,C ALEU,10,2,W,0,0,1,0,,,,,,,,51.915,179.509,E,SEMISOPOCHNOI/SW KNOB,,,,SWKNB,819,4,292.8,2,4,SLAB-ROCK ,E,,,
SEMISOPOCHNOI/TUMAN POINT,228,SEMISOPOCHNOI/TUMAN POINT,A,431,,,1,C ALEU,10,2,W,0,0,1,0,,,,,,1,1,51.963,179.482,E,SEMISOPOCHNOI/TUMAN POINT,,,,TUMAN,819,3,292.6,2,4,SLAB-ROCK ,E,,,
SILAK,424,SILAK,A,398,,,1,C ALEU,10,4,W,0,1,0,0,,,,,,,,51.815,-176.246,W,SILAK,,,1,SILAK,513,0,268.5,2,3,ROCKY,,,,
SKAGUL/S. POINT,314,SKAGUL/S. POINT,A,420,,,1,C ALEU,10,3,W,0,0,0,0,,,,,,,,51.583,-178.567,W,SKAGUL/S. POINT,,,,SKAGL,711,0,285,,,ROCK,,,,
TAG,315,TAG,A,418,,,1,C ALEU,10,3,W,1,1,1,1,1,1,1,,,,,51.557,-178.577,W,TAG,,1,,TAGIS,675,0,283,,4,SLAB-ROCK ,S,,,
TAGALAK,425,TAGALAK,A,392,,,1,C ALEU,10,4,W,0,0,0,1,,,,,,1,1,51.960,-175.616,W,TAGALAK,TAGALAK,,,TAGLK,405,0,263,,5,OFFSHORE S,S,,,
TAGALAK,425,TAGALAK/PASS,B,602,,,1,C ALEU,10,4,W,0,0,0,0,,,,,,1,1,51.948,-175.747,W,TAGALAK/PASS,TAGALAK,,,,,,,,,,,,,
TANADAK (AMLIA),512,TANADAK (AMLIA),A,379,,,1,C ALEU,10,5,W,0,1,1,1,,,,1,1,1,1,52.070,-172.960,W,TANADAK (AMLIA),,,,TNDKA,207,0,252,,4,SLAB-ROCK ,,,,
TANADAK (KISKA),229,TANADAK (KISKA),A,448,,,1,C ALEU,10,2,W,0,0,1,1,,,,1,1,,1,51.947,177.780,E,TANADAK (KISKA),,,,TNDKK,945,0,310,,3,ROCKY,,,,
TANAGA/BUMPY POINT,316,TANAGA/BUMPY POINT,A,413A,1,FROM,1,C ALEU,10,3,W,0,0,1,1,,,,1,1,1,1,51.917,-177.975,W,TANAGA/BUMPY POINT/A,TANAGA/BUMPY POINT,,1,BUMP1,603,1,278,,3,ROCKY,,,,
TANAGA/BUMPY POINT,316,TANAGA/BUMPY POINT/B,B,413B,2,TO,0,C ALEU,10,3,W,0,0,1,1,,,,1,1,1,1,51.917,-177.952,W,TANAGA/BUMPY POINT/B,TANAGA/BUMPY POINT,,1,BUMP1,603,1,278,,3,ROCKY,,,,
TANAGA/CAPE SASMIK,317,TANAGA/CAPE SASMIK,A,414,,,1,C ALEU,10,3,W,0,0,1,1,,,,,,,,51.597,-177.938,W,TANAGA/CAPE SASMIK,,,1,SASM1,603,2,279,,3,ROCKY,,,,
TANAGA/CAPE SUDAK,318,TANAGA/CAPE SUDAK,A,572,,,1,C ALEU,10,3,W,0,0,0,0,,,,,,,,51.855,-177.616,W,TANAGA/CAPE SUDAK,,,,,,,,,,,,KT rocks,,
TWIN ROCKS (KISKA),230,TWIN ROCKS (KISKA),A,449,,,1,C ALEU,10,2,W,0,0,0,1,,,,,,,,51.920,177.618,E,TWIN ROCKS (KISKA),,,,TWINK,963,0,310.1,,,,,,,
UGIDAK,319,UGIDAK,A,417,,,1,C ALEU,10,3,W,0,1,1,1,,,,1,1,1,1,51.583,-178.509,W,UGIDAK,,,,UGDAK,657,0,282,,4,SLAB-ROCK ,SW,,,
ULAK/HASGOX POINT,320,ULAK/HASGOX POINT,A,424,,,1,C ALEU,10,3,W,1,1,1,1,1,1,1,,,,,51.308,-178.991,W,ULAK/HASGOX POINT,,1,,HSGX1,783,0,289,,"""4,5""","""SLAB-ROCK",ALL,,,
ULIAGA,643,ULIAGA,A,358,,,1,C ALEU,10,6,W,0,0,1,1,,,,1,1,,1,53.058,-169.795,W,ULIAGA,,,1,ULIA1,9,0,233,,4,SLAB-ROCK ,N,updated 3/12/14,,
UNALGA+DINKUM ROCKS,321,UNALGA+DINKUM ROCKS,A,423,,,1,C ALEU,10,3,W,0,1,1,1,,,,1,1,1,1,51.561,-179.069,W,UNALGA+DINKUM ROCKS,,,1,UNAL1,765,0,288,,5,OFFSHORE S,S,,,
YUNASKA,513,YUNASKA,A,363,,,1,C ALEU,10,5,W,1,1,1,1,1,1,1,,,,,52.690,-170.606,W,YUNASKA,,1,,YUNAS,99,0,238,,"""2,6""","""COBBLE BE",E,,,
AFOGNAK/TONKI CAPE,901,AFOGNAK/TONKI CAPE,A,210,,,1,C GULF,7,9,W,0,0,1,1,,,,,,,,58.352,-151.987,W,AFOGNAK/TONKI CAPE,,1,,TONKI,380,1,102,,5,OFFSHORE S,N,,,
AGHIYUK,801,AGHIYUK,A,246,,,1,C GULF,7,8,W,0,0,0,0,,,,,,,,56.157,-156.808,W,AGHIYUK,,,,AGHIY,886,0,137,,"""4,5""","""SLAB-ROCK",,,,
AIUGNAK COLUMNS,802,AIUGNAK COLUMNS,A,243,,,1,C GULF,7,8,W,0,0,0,1,,,,,,,,56.879,-156.568,W,AIUGNAK COLUMNS,,,,AIUGN,817,0,134,,5,OFFSHORE S,ALL,,,
CAPE DOUGLAS,902,CAPE DOUGLAS,A,234,,,1,C GULF,7,9,W,0,0,0,1,,,,,,,,58.858,-153.233,W,CAPE DOUGLAS,,,,DOUGL,610,0,125,,,,,,,
CAPE GULL,804,CAPE GULL,A,238A,1,FROM,1,C GULF,7,8,W,0,0,0,1,,,,1,1,,1,58.192,-154.160,W,CAPE GULL/A,CAPE GULL,,,GULL1,702,0,129,,,,,,,
CAPE GULL,804,CAPE GULL/B,B,238B,2,TO,0,C GULF,7,8,W,0,0,0,1,,,,1,1,,1,58.208,-154.175,W,CAPE GULL/B,CAPE GULL,,,GULL1,702,0,129,,,,,,,
CAPE KULIAK,805,CAPE KULIAK,A,239,,,1,C GULF,7,8,W,0,0,0,0,,,,1,1,,1,58.133,-154.208,W,CAPE KULIAK,,,,KULIA,725,0,130,,6,OFFSHORE R,E,,,
CAPE NUKSHAK,903,CAPE NUKSHAK,A,236,,,1,C GULF,7,9,W,0,0,0,1,,,,,,,,58.392,-153.982,W,CAPE NUKSHAK,,,,NUKSH,656,0,127,,,,,,,
CAPE UGYAK,806,CAPE UGYAK,A,237,,,1,C GULF,7,8,W,0,0,0,1,,,,,,,,58.283,-154.100,W,CAPE UGYAK,,,,UGYAK,679,0,128,,,,,,,
CHIRIKOF,808,CHIRIKOF,A,248A,1,FROM,1,C GULF,7,8,W,1,1,1,1,1,1,1,,,,,55.774,-155.724,W,CHIRIKOF/A,CHIRIKOF,1,,CHIR1,932,0,139,,2,COBBLE BEA,S,,,
CHIRIKOF,808,CHIRIKOF/B,B,248B,2,TO,0,C GULF,7,8,W,1,1,1,1,1,1,1,,,,,55.770,-155.691,W,CHIRIKOF/B,CHIRIKOF,1,,CHIR1,932,0,139,,2,COBBLE BEA,S,,,
CHOWIET,809,CHOWIET,A,247A,1,FROM,1,C GULF,7,8,W,1,1,1,1,1,1,1,,,,,56.001,-156.687,W,CHOWIET/A,CHOWIET,1,,CHOW1,909,0,138,,3,ROCKY,SE,,,
CHOWIET,809,CHOWIET/B,B,247B,2,,0,C GULF,7,8,W,1,1,1,1,1,1,1,,,,,56.004,-156.693,W,CHOWIET/B,CHOWIET,1,,CHOW1,909,0,138,,3,ROCKY,SE,,,
CHOWIET,809,CHOWIET/C,C,247C,3,,0,C GULF,7,8,W,1,1,1,1,1,1,1,,,,,56.010,-156.691,W,CHOWIET/C,CHOWIET,1,,CHOW1,909,0,138,,3,ROCKY,SE,,,
CHOWIET,809,CHOWIET/D,D,247D,4,,0,C GULF,7,8,W,1,1,1,1,1,1,1,,,,,56.019,-156.684,W,CHOWIET/D,CHOWIET,1,,CHOW1,909,0,138,,3,ROCKY,SE,,,
CHOWIET,809,CHOWIET/E,E,247E,5,,0,C GULF,7,8,W,1,1,1,1,1,1,1,,,,,56.028,-156.685,W,CHOWIET/E,CHOWIET,1,,CHOW1,909,0,138,,3,ROCKY,SE,,,
CHOWIET,809,CHOWIET/F,F,247F,6,TO,0,C GULF,7,8,W,1,1,1,1,1,1,1,,,,,56.026,-156.678,W,CHOWIET/F,CHOWIET,1,,CHOW1,909,0,138,,3,ROCKY,SE,,,
EAST CHUGACH,1011,EAST CHUGACH,A,193,,,1,C GULF,7,10,W,0,0,1,1,,,,,,,,59.105,-151.443,W,EAST CHUGACH,,1,,ECHUG,81,0,87,,,,,,,
ELIZABETH/CAPE ELIZABETH,1012,ELIZABETH/CAPE ELIZABETH,A,197,,,1,C GULF,7,10,W,0,0,1,1,,,,,1,1,1,59.156,-151.885,W,ELIZABETH/CAPE ELIZABETH,,1,,CELIZ,173,0,91,,6,OFFSHORE R,SW,,,
FLAT,1013,FLAT,A,198,,,1,C GULF,7,10,W,0,0,0,1,,,,,,1,1,59.332,-151.994,W,FLAT,,,,FLATI,196,0,92,,,SMALL ROCK,,,,
GORE POINT,1015,GORE POINT,A,192,,,1,C GULF,7,10,W,0,0,1,1,,,,1,1,1,1,59.200,-150.967,W,GORE POINT,,1,,GOREP,58,0,86,,3,ROCKY,,,,
KILOKAK ROCKS,811,KILOKAK ROCKS,A,242,,,1,C GULF,7,8,W,0,0,0,1,,,,,1,,1,57.156,-156.275,W,KILOKAK ROCKS,,,,KILOK,794,0,133,,5,OFFSHORE S,S,,,
KODIAK/BIRD ROCK,904,KODIAK/BIRD ROCK,A,566,,,1,C GULF,7,9,W,0,0,0,0,,,,,,,,57.692,-153.910,W,KODIAK/BIRD ROCK,,,,,0,0,,,,,,,,
KODIAK/CAPE ALITAK,812,KODIAK/CAPE ALITAK,A,222,,,1,C GULF,7,8,W,0,0,0,1,,,,,,,,56.842,-154.312,W,KODIAK/CAPE ALITAK,,,,ALTAK,472,5,113,,,,,,,
KODIAK/CAPE BARNABAS,905,KODIAK/CAPE BARNABAS,A,218,,,1,C GULF,7,9,W,0,1,1,1,,,,1,1,1,1,57.167,-152.877,W,KODIAK/CAPE BARNABAS,,1,,BARNB,472,3,109,,,,,,,
KODIAK/CAPE CHINIAK,906,KODIAK/CAPE CHINIAK,A,215A,1,FROM,1,C GULF,7,9,W,0,1,1,1,,,,1,1,1,1,57.635,-152.138,W,KODIAK/CAPE CHINIAK/A,KODIAK/CAPE CHINIAK,1,1,CHINI,472,1,106,,4,SM OFFSHOR,,,,
KODIAK/CAPE CHINIAK,906,KODIAK/CAPE CHINIAK/B,B,215B,2,TO,0,C GULF,7,9,W,0,1,1,1,,,,1,1,1,1,57.629,-152.137,W,KODIAK/CAPE CHINIAK/B,KODIAK/CAPE CHINIAK,1,1,CHINI,472,1,106,,4,SM OFFSHOR,,,,
KODIAK/CAPE IKOLIK,813,KODIAK/CAPE IKOLIK,A,223,,,1,C GULF,7,8,W,0,0,0,1,,,,1,,1,1,57.286,-154.793,W,KODIAK/CAPE IKOLIK,,,1,IKOLK,472,6,114,,"""4,6""","""SLAB-ROCK","""W,SW""",,,
KODIAK/CAPE KULIUK,907,KODIAK/CAPE KULIUK,A,227,,,1,C GULF,7,9,W,0,0,0,1,,,,,,,,57.808,-153.933,W,KODIAK/CAPE KULIUK,,,,KULIU,472,10,118,,,,,,,
KODIAK/CAPE PARAMANOF,908,KODIAK/CAPE PARAMANOF,A,232,,,1,C GULF,7,9,W,0,0,0,1,,,,,,,,58.305,-153.047,W,KODIAK/CAPE PARAMANOF,,,,PARAM,472,14,123,,3,BOULDER BE,,,,
KODIAK/CAPE UGAT,909,KODIAK/CAPE UGAT,A,228,,,1,C GULF,7,9,W,0,0,1,1,,,,1,1,1,1,57.873,-153.851,W,KODIAK/CAPE UGAT,,1,1,CUGAT,472,11,119,,6,OFFSHORE R,E,,,
KODIAK/CAPE UYAK,814,KODIAK/CAPE UYAK,A,226,,,1,C GULF,7,8,W,0,0,0,0,,,,,,,,57.633,-154.350,W,KODIAK/CAPE UYAK,,,,CUYAK,472,9,117,,,,,,,
KODIAK/GULL POINT,910,KODIAK/GULL POINT,A,217,,,1,C GULF,7,9,W,0,0,1,1,,,,1,1,1,1,57.358,-152.603,W,KODIAK/GULL POINT,,1,,GULLP,472,2,108,,5,OFFSHORE S,E,,,
KODIAK/MALINA POINT,911,KODIAK/MALINA POINT,A,230,,,1,C GULF,7,9,W,0,0,0,1,,,,,,,,58.033,-153.367,W,KODIAK/MALINA POINT,,,,MALIN,472,12,121,,,,,,,
KODIAK/STEEP CAPE,912,KODIAK/STEEP CAPE,A,231,,,1,C GULF,7,9,W,0,0,1,1,,,,,,,,58.211,-153.190,W,KODIAK/STEEP CAPE,,,,STEPC,472,13,122,,6,OFFSHORE R,W,,,
KODIAK/STURGEON HEAD,815,KODIAK/STURGEON HEAD,A,225,,,1,C GULF,7,8,W,0,0,0,0,,,,,,,,57.517,-154.617,W,KODIAK/STURGEON HEAD,,,,STURG,472,8,116,,,,,,,
KODIAK/SUNDSTROM,816,KODIAK/SUNDSTROM,A,221,,,1,C GULF,7,8,W,0,0,0,1,,,,,,,,56.683,-154.150,W,KODIAK/SUNDSTROM,,,,SUNDS,472,4,112,,,,,,,
KODIAK/TOMBSTONE ROCKS,817,KODIAK/TOMBSTONE ROCKS,A,224,,,1,C GULF,7,8,W,0,0,0,1,,,,,,,,57.353,-154.819,W,KODIAK/TOMBSTONE ROCKS,,,,TOMBS,472,7,115,,,,,,,
LATAX ROCKS,913,LATAX ROCKS,A,206,,,1,C GULF,7,9,W,0,1,1,1,,,,1,1,1,1,58.669,-152.521,W,LATAX ROCKS,,1,1,LATAX,311,0,99,,"""3,4""","""BOULDER B","""S,N""",,,
LONG ISLAND,914,LONG ISLAND,A,213,,,1,C GULF,7,9,W,0,1,1,1,,,,1,,1,1,57.780,-152.215,W,LONG ISLAND,,1,1,LONGI,449,0,105,,"""5,6""","""OFFSHORE ",SE,,,
MARMOT,915,MARMOT,A,212A,1,FROM,1,C GULF,7,9,W,1,1,1,1,1,1,1,,,,,58.169,-151.854,W,MARMOT/A,MARMOT,1,,MRMT1,426,0,104,,"""2,3,6""","""COBBLE BE",E,,,
MARMOT,915,MARMOT/B,B,212B,2,TO,0,C GULF,7,9,W,1,1,1,1,1,1,1,,,,,58.205,-151.800,W,MARMOT/B,MARMOT,1,,MRMT1,426,0,104,,"""2,3,6""","""COBBLE BE",E,,,
NAGAHUT ROCKS,1019,NAGAHUT ROCKS,A,196,,,1,C GULF,7,10,W,0,0,1,1,,,,1,1,,1,59.100,-151.772,W,NAGAHUT ROCKS,,1,,NAGAH,150,0,90,,4,SM ROCKY I,,,,
NAGAI ROCKS,820,NAGAI ROCKS,A,249A,1,FROM,1,C GULF,7,8,W,0,0,1,1,,,,1,1,1,1,55.830,-155.790,W,NAGAI ROCKS/A,NAGAI ROCKS,1,1,NAGRK,955,0,140,,4,SLAB-ROCK ,SW,,,
NAGAI ROCKS,820,NAGAI ROCKS/B,B,249B,2,TO,0,C GULF,7,8,W,0,0,1,1,,,,1,1,1,1,55.824,-155.794,W,NAGAI ROCKS/B,NAGAI ROCKS,1,1,NAGRK,955,0,140,,4,SLAB-ROCK ,SW,,,
NOISY,916,NOISY,A,229,,,1,C GULF,7,9,W,0,0,0,1,,,,,,,,57.933,-153.558,W,NOISY,,,,NOISY,564,0,120,,,,,,,
NUKA POINT,1020,NUKA POINT,A,191,,,1,C GULF,7,10,W,0,0,0,1,,,,,,,,59.300,-150.717,W,NUKA POINT,,,,NUKAP,35,0,85,,,,,,,
OUTER (PYE),1021,OUTER (PYE),A,190A,1,FROM,1,C GULF,7,10,W,1,0,1,1,1,1,1,,,,,59.346,-150.407,W,OUTER (PYE)/A,OUTER (PYE),1,,OUTR1,12,0,84,,4*3,SLAB-ROCK ,"S,SE",,,
OUTER (PYE),1021,OUTER (PYE)/B,B,190B,2,TO,0,C GULF,7,10,W,1,0,1,1,1,1,1,,,,,59.345,-150.394,W,OUTER (PYE)/B,OUTER (PYE),1,,OUTR1,12,0,84,,4*3,SLAB-ROCK ,"S,SE",,,
PERL,1022,PERL,A,194,,,1,C GULF,7,10,W,0,0,1,1,,,,,1,1,1,59.095,-151.660,W,PERL,,1,1,PERLI,104,0,88,,4,SLAB-ROCK ,S,,,
PERL ROCKS,1023,PERL ROCKS,A,195,,,1,C GULF,7,10,W,0,0,0,1,,,,,,,,59.090,-151.693,W,PERL ROCKS,,,1,PERLR,127,0,89,,,,,,,
PUALE BAY,821,PUALE BAY,A,241,,,1,C GULF,7,8,W,0,0,1,1,,,,1,1,1,1,57.677,-155.385,W,PUALE BAY,,,1,PUALE,771,0,132,,5,OFFSHORE S,S,,,
SEA LION ROCKS (MARMOT),917,SEA LION ROCKS (MARMOT),A,211,,,1,C GULF,7,9,W,0,1,1,1,,,,1,1,1,1,58.342,-151.814,W,SEA LION ROCKS (MARMOT),,1,,SLR1M,403,0,103,,4,SLAB-ROCK ,ALL,,,
SEA OTTER,918,SEA OTTER,B,207,,,1,C GULF,7,9,W,0,0,1,1,,,,1,1,1,1,58.520,-152.223,W,SEA OTTER,SEA OTTER,1,1,SOTTR,334,0,100,,4,SLAB-ROCK ,S,,,
SEA OTTER,918,SEA OTTER/RK NEAR,A,208,,,1,C GULF,7,9,W,0,0,1,0,,,,1,1,1,1,58.508,-152.200,W,RK NEAR SEA OTTER,SEA OTTER,1,,RKSOT,357,0,101,,4,SM ROCKY I,,,,
SHAKUN ROCKS,919,SHAKUN ROCKS,A,235,,,1,C GULF,7,9,W,0,0,1,1,,,,1,1,1,1,58.547,-153.692,W,SHAKUN ROCKS,,,1,SHAKN,633,0,126,,4,SLAB-ROCK ,E,,,
SHAW,920,SHAW,A,233,,,1,C GULF,7,9,W,0,0,0,1,,,,,1,,1,59.000,-153.375,W,SHAW,,,,SHAWI,587,0,124,,6,OFFSHORE R,E,,,
SITKINAK/CAPE SITKINAK,921,SITKINAK/CAPE SITKINAK,A,220,,,1,C GULF,7,9,W,0,1,1,1,,,,1,1,1,1,56.571,-153.852,W,SITKINAK/CAPE SITKINAK,,1,,STKN1,541,0,111,,5,OFFSHORE S,ALL,,,
SUD,922,SUD,A,205,,,1,C GULF,7,9,W,0,0,0,0,,,,1,1,,1,58.900,-152.208,W,SUD,,,,SUDIS,288,0,98,,-9,,,,,
SUGARLOAF,923,SUGARLOAF,A,200,,,1,C GULF,7,9,W,1,1,1,1,1,1,1,,,,,58.888,-152.040,W,SUGARLOAF,,1,,SUGAR,242,0,94,,1*3,BOULDER BE,"N,NE",,,
SUTWIK,824,SUTWIK,A,245A,1,FROM,1,C GULF,7,8,W,0,1,1,1,,,,1,1,,1,56.518,-157.341,W,SUTWIK/A,SUTWIK,1,1,STWK1,863,0,136,,5,OFFSHORE S,S,,,
SUTWIK,824,SUTWIK/B,B,245B,2,TO,0,C GULF,7,8,W,0,1,1,1,,,,1,1,,1,56.533,-157.350,W,SUTWIK/B,SUTWIK,1,1,STWK1,863,0,136,,5,OFFSHORE S,S,,,
TAKLI,825,TAKLI,A,240,,,1,C GULF,7,8,W,0,0,1,1,,,,1,1,1,1,58.029,-154.521,W,TAKLI,,,,TAKLI,748,0,131,,6,OFFSHORE R,W,,,
TWOHEADED,924,TWOHEADED,A,219A,1,FROM,1,C GULF,7,9,W,1,1,1,1,,1,1,1,,,,56.903,-153.554,W,TWOHEADED/A,TWOHEADED,1,1,TWHD1,518,0,110,,4,SLAB-ROCK ,E,updated 3/12/14,,
TWOHEADED,924,TWOHEADED/B,B,219B,2,TO,0,C GULF,7,9,W,1,1,1,1,,1,1,1,,,,56.898,-153.569,W,TWOHEADED/B,TWOHEADED,1,1,TWHD1,518,0,110,,4,SLAB-ROCK ,E,updated 3/12/14,,
UGAIUSHAK,826,UGAIUSHAK,A,244,,,1,C GULF,7,8,W,0,1,1,1,,,,,,,,56.754,-156.854,W,UGAIUSHAK,,,,UGAIU,840,0,135,,5,OFFSHORE S,S,,,
UGAK,925,UGAK,A,216A,1,FROM,1,C GULF,7,9,W,0,0,1,1,,,,1,1,,1,57.393,-152.292,W,UGAK/A,UGAK,1,,UGAK1,495,0,107,,,,,,,
UGAK,925,UGAK/B,B,216B,2,TO,0,C GULF,7,9,W,0,0,1,1,,,,1,1,,1,57.365,-152.290,W,UGAK/B,UGAK,1,,UGAK1,495,0,107,,,,,,,
USHAGAT,926,USHAGAT/NW,A,202,,,1,C GULF,7,9,W,0,1,1,0,,,,1,,,,58.967,-152.317,W,USHAGAT/NW,USHAGAT,1,1,USHNW,265,1,95.1,2,4,SM OFFSHOR,,,,
USHAGAT,926,USHAGAT/SW,B,203A,1,TO,1,C GULF,7,9,W,1,1,1,1,,1,1,1,,,,58.912,-152.369,W,USHAGAT/SW/A,USHAGAT,1,1,USHSW,265,2,95.2,2,5,OFFSHORE S,W,,,
USHAGAT,926,USHAGAT/SW/B,C,203B,2,FROM,0,C GULF,7,9,W,1,1,1,1,,1,1,1,,,,58.905,-152.248,W,USHAGAT/SW/B,USHAGAT,1,1,USHSW,265,2,95.2,2,5,OFFSHORE S,W,,,
USHAGAT,926,USHAGAT/SW/C,D,203C,3,,0,C GULF,7,9,W,1,1,1,1,,1,1,1,,,,58.901,-152.344,W,USHAGAT/SW/C,USHAGAT,1,1,USHSW,265,2,95.2,2,5,OFFSHORE S,W,,,
USHAGAT/ROCKS SOUTH,927,USHAGAT/ROCKS SOUTH,A,204,,,1,C GULF,7,9,W,0,1,1,1,,,,1,1,,1,58.882,-152.318,W,USHAGAT/ROCKS SOUTH,,1,1,USHRK,265,3,97,,,,,deleted duplicate record,,
WEST AMATULI,928,WEST AMATULI,A,199,,,1,C GULF,7,9,W,0,0,0,0,,,,,,,,58.950,-152.017,W,WEST AMATULI,,,,WAMAT,219,0,93,,,,,,,
ADUGAK,601,ADUGAK,A,357,,,1,E ALEU,9,6,W,1,1,1,1,1,1,1,,,,,52.912,-169.175,W,ADUGAK,,1,,ADUGK,980,0,232,,5,OFFSHORE S,ALL,,,
AIKTAK,701,AIKTAK,A,308A,2,TO,0,E ALEU,9,7,W,0,0,1,1,,,,,,1,1,54.183,-164.853,W,AIKTAK,AIKTAK,1,1,AIKTK,166,0,188,,,,,,,
AIKTAK,701,AIKTAK/S,B,308B,1,FROM,1,E ALEU,9,7,W,0,0,1,1,,,,,,1,1,54.180,-164.829,W,AIKTAK/S,AIKTAK,,,,,,,,,,,,,
AKUN/AKUN BAY,602,AKUN/AKUN BAY,A,320,,,1,E ALEU,9,6,W,0,0,0,1,,,,,,,,54.214,-165.405,W,AKUN/AKUN BAY,,,,AKUNB,388,2,198.5,,6,OFFSHORE R,"""S,E""",,,
AKUN/AKUN HEAD,603,AKUN/AKUN HEAD,A,322,,,1,E ALEU,9,6,W,0,0,0,1,,,,,,,,54.297,-165.633,W,AKUN/AKUN HEAD,,,,AKUNH,388,4,200,,3,ROCKY,,,,
AKUN/BILLINGS HEAD,604,AKUN/BILLINGS HEAD,A,321A,1,FROM,1,E ALEU,9,6,W,1,1,1,1,1,1,1,,,,,54.294,-165.534,W,AKUN/BILLINGS HEAD/A,AKUN/BILLINGS HEAD,1,,BLNG1,388,3,199,,2,COBBLE BEA,N,,,
AKUN/BILLINGS HEAD,604,AKUN/BILLINGS HEAD/B,B,321B,2,TO,0,E ALEU,9,6,W,1,1,1,1,1,1,1,,,,,54.293,-165.529,W,AKUN/BILLINGS HEAD/B,AKUN/BILLINGS HEAD,1,,BLNG1,388,3,199,,2,COBBLE BEA,N,,,
AKUN/JACKASS POINT,605,AKUN/JACKASS POINT,A,319,,,1,E ALEU,9,6,W,0,0,0,1,,,,,,,,54.107,-165.560,W,AKUN/JACKASS POINT,,,,JACKA,388,1,198,,,ROCKY,,,,
AKUTAN/BATTERY POINT,606,AKUTAN/BATTERY POINT,A,327,,,1,E ALEU,9,6,W,0,0,0,0,,,,,,,,54.035,-165.892,W,AKUTAN/BATTERY POINT,,,,BATRY,425,4,204,,5,OFFSHORE S,S,,,
AKUTAN/CAPE MORGAN,607,AKUTAN/CAPE MORGAN,A,326A,1,FROM,1,E ALEU,9,6,W,1,1,1,1,1,1,1,,,,,54.056,-166.002,W,AKUTAN/CAPE MORGAN/A,AKUTAN/CAPE MORGAN,1,,MORG1,425,3,203,,"""1,2""","""SANDY BEA",SE,,,
AKUTAN/CAPE MORGAN,607,AKUTAN/CAPE MORGAN/B,B,326B,2,TO,0,E ALEU,9,6,W,1,1,1,1,1,1,1,,,,,54.047,-166.080,W,AKUTAN/CAPE MORGAN/B,AKUTAN/CAPE MORGAN,1,,MORG1,425,3,203,,"""1,2""","""SANDY BEA",SE,,,
AKUTAN/NORTH HEAD,608,AKUTAN/NORTH HEAD,A,324,,,1,E ALEU,9,6,W,0,0,0,0,,,,,,,,54.225,-165.938,W,AKUTAN/NORTH HEAD,,,,AKUTN,425,1,201,,,,,,,
AKUTAN/REEF-LAVA,609,AKUTAN/REEF-LAVA,A,325A,1,FROM,1,E ALEU,9,6,W,0,1,1,1,,,,1,1,1,1,54.135,-166.103,W,AKUTAN/REEF-LAVA/A,AKUTAN/REEF-LAVA,1,1,REEF1,425,2,202,,4,SLAB-ROCK ,NW,,,
AKUTAN/REEF-LAVA,609,AKUTAN/REEF-LAVA/B,B,325B,2,TO,0,E ALEU,9,6,W,0,1,1,1,,,,1,1,1,1,54.152,-166.092,W,AKUTAN/REEF-LAVA/B,AKUTAN/REEF-LAVA,1,1,REEF1,425,2,202,,4,SLAB-ROCK ,NW,,,
