PARENTSITE,PARENTSITE_ID,SUBSITE,SUBSITE_ID,MML_ID,BEACH_NO,FROM_TO,NO_RPT,REGION,REGNO,RCA,E_W_144,ROOK,TREND_70,TREND_90,TREND_00,CH_93R,PUPS_50,CH_PROPOSEDR,CH_93HO,NP_BRD_200,NP_NONBRD_100,CH_PROPOSEDHO,LAT,LON,HEM,SITE_ORIG/A-B,COMPLEX_ORIG,PUP,JUV,GPSID,IS_NO,SITE_NO,SEQ_NO,REDUNDANT,SUBSTR_CODE,SUBSTR_DESCR,ORIENT,NOTES,,
AMLIA/EAST CAPE,503,AMLIA/EAST CAPE/C,C,376C,,,1,C ALEU,10,5,W,1,1,1,1,,1,1,1,1,1,,52.108,-173.1337,W,AMLIA/EAST CAPE/C,AMLIA/EAST CAPE,,,,,,,,,,,,,
AMLIA/SVIECH. HARBOR,504,AMLIA/SVIECH. HARBOR,A,378,,,1,C ALEU,10,5,W,0,0,1,1,,,,1,1,1,1,52.031,-173.398,W,AMLIA/SVIECH. HARBOR,,1,,SVIEC,189,3,251,,4,SLAB-ROCK ,"S,SE,SW",,,
AMTAGIS,407,AMTAGIS,A,381,,,1,C ALEU,10,4,W,0,0,0,0,,,,,,,,52.017,-174.433,W,AMTAGIS,,,,AMTG1,243,0,254,,3,ROCKY,,,,
AMUKTA+ROCKS,505,AMUKTA+ROCKS,A,365,,,1,C ALEU,10,5,W,0,1,1,1,,,,1,1,1,1,52.449,-171.306,W,AMUKTA+ROCKS,,,1,AMUKT,135,0,240,,3,ROCKY,,,,
ANAGAKSIK,408,ANAGAKSIK,A,394,,,1,C ALEU,10,4,W,0,1,1,1,,,,1,1,,1,51.852,-175.887,W,ANAGAKSIK,,,,ANAGA,441,0,265,,"""4,5""","""SLAB-ROCK",S,,,
ATKA/CAPE KOROVIN,409,ATKA/CAPE KOROVIN,A,385A,1,FROM,1,C ALEU,10,4,W,0,1,1,1,,,,,,,,52.313,-174.457,W,ATKA/CAPE KOROVIN/A,ATKA/CAPE KOROVIN,,,KORO1,279,2,256,,,,,,,
ATKA/CAPE KOROVIN,409,ATKA/CAPE KOROVIN/B,B,385B,2,TO,0,C ALEU,10,4,W,0,1,1,1,,,,,,,,52.321,-174.458,W,ATKA/CAPE KOROVIN/B,ATKA/CAPE KOROVIN,,,KORO1,279,2,256,,,,,,,
ATKA/NORTH CAPE,410,ATKA/NORTH CAPE,A,384,,,1,C ALEU,10,4,W,0,1,1,1,,,,1,1,1,1,52.401,-174.277,W,ATKA/NORTH CAPE,ATKA/NORTH CAPE,,1,ATKAN,279,1,255,,4,SLAB-ROCK ,,,,
ATKA/NORTH CAPE,410,ATKA/SE OF NORTH CAPE,B,384B,,,1,C ALEU,10,4,W,0,1,1,1,,,,1,1,1,1,52.4175,-174.1797,W,ATKA/SE OF NORTH CAPE,ATKA/NORTH CAPE,,,,,,,,,,,,,
ATKA/NORTH CAPE,410,ATKA/SW OF NORTH CAPE,C,595,,,1,C ALEU,10,4,W,0,1,1,1,,,,1,1,1,1,52.382,-174.323,W,ATKA/SW OF NORTH CAPE,ATKA/NORTH CAPE,,,,,,,,,,,,,
AYUGADAK,210,AYUGADAK,A,441,,,1,C ALEU,10,2,W,1,1,1,1,1,1,1,,,,,51.756,178.405,E,AYUGADAK,,1,,AYUGA,855,0,304,,"""2,6""","""COBBLE BE",SE,,,
BOBROF,304,BOBROF,A,411,,,1,C ALEU,10,3,W,0,0,0,0,,,,1,,1,1,51.897,-177.460,W,BOBROF,,,,BOBRO,585,0,277,,4,SLAB-ROCK ,W,,,
