ID,x,y,time
45659,48.040197,-122.626643,23-07-13 20:12:00
45659,47.924106,-122.475757,23-07-13 20:27:01
45659,47.906128,-122.444734,23-07-13 20:44:01
45659,47.899258,-122.443477,23-07-13 21:01:04
45659,47.891398,-122.437468,23-07-13 21:18:02
45659,47.88428,-122.433934,23-07-13 21:35:02
45659,47.880333,-122.432373,23-07-13 21:52:00
45659,47.88106,-122.432019,23-07-13 22:09:00
45659,47.898147,-122.432456,23-07-13 22:26:00
45659,47.899396,-122.436392,23-07-13 22:43:00
45659,47.899921,-122.43896,23-07-13 23:00:02
45659,47.900401,-122.441037,23-07-13 23:17:00
45659,47.901471,-122.443485,23-07-13 23:34:00
45659,47.905553,-122.452633,23-07-13 23:51:00
45659,47.906868,-122.457219,23-07-14 00:08:00
45659,47.907874,-122.439086,23-07-14 00:25:02
45659,47.893137,-122.418968,23-07-14 00:42:00
45659,47.894749,-122.417141,23-07-14 00:59:00
45659,47.893831,-122.417091,23-07-14 01:16:00
45659,47.896634,-122.417179,23-07-14 01:33:00
45659,47.917519,-122.444999,23-07-14 02:07:15
45659,47.917229,-122.455449,23-07-14 02:24:02
45659,47.920436,-122.464994,23-07-14 02:41:03
45659,47.925185,-122.474957,23-07-14 02:58:02
45659,47.930774,-122.484452,23-07-14 03:15:02
45659,47.936501,-122.492671,23-07-14 03:32:03
45659,47.942361,-122.501982,23-07-14 03:49:06
45659,47.967811,-122.578575,23-07-14 04:06:03
45659,48.026936,-122.649613,23-07-14 04:23:04
45659,48.030753,-122.654047,23-07-14 04:40:02
45659,48.059862,-122.666136,23-07-14 04:57:02
45659,48.119832,-122.689426,23-07-14 05:14:03
45659,48.12217,-122.686697,23-07-14 05:31:04
45659,48.123518,-122.684204,23-07-14 05:48:03
45659,48.151436,-122.772607,23-07-14 06:05:03
45659,48.142205,-122.891272,23-07-14 06:21:18
45659,48.127181,-122.923468,23-07-14 07:06:20
45659,48.12589,-122.925683,23-07-14 07:21:25
45659,48.125794,-122.924062,23-07-14 07:36:20
45659,48.1265,-122.923131,23-07-14 08:06:23
45659,48.136681,-122.932025,23-07-14 08:21:23
45659,48.123928,-122.939619,23-07-14 09:06:23
45659,48.126177,-122.925131,23-07-14 09:21:19
45663,48.127194,-122.923233,23-07-13 07:16:21
45663,48.13277,-122.906792,23-07-13 07:33:13
45663,48.131896,-122.904372,23-07-13 07:50:13
45663,48.131082,-122.901653,23-07-13 08:07:13
45663,48.129168,-122.900354,23-07-13 08:24:13
45663,48.125476,-122.89828,23-07-13 08:41:17
45663,48.124035,-122.895719,23-07-13 08:58:16
45663,48.122346,-122.894777,23-07-13 09:15:15
45663,48.120647,-122.896052,23-07-13 09:32:12
45663,48.119297,-122.898633,23-07-13 09:49:12
45663,48.118424,-122.901538,23-07-13 10:06:12
45663,48.116755,-122.904453,23-07-13 10:23:12
45663,48.114074,-122.908385,23-07-13 10:40:12
45663,48.114314,-122.90819,23-07-13 10:57:12
45663,48.123831,-122.868442,23-07-13 11:14:12
45663,48.155098,-122.740106,23-07-13 11:31:12
45663,48.167824,-122.758867,23-07-13 11:48:12
