ID,x,y,time,nest_x,nest_y
44149,505.739978666746,5330.45090277964,22-06-23 07:31:07,505.762919559637,5330.50294328788
44149,505.741620407847,5330.44623619203,22-06-23 08:01:21,505.762919559637,5330.50294328788
44149,505.843603013868,5330.40877120091,22-06-23 08:16:21,505.762919559637,5330.50294328788
44149,508.590252590736,5331.54261484478,22-06-23 08:31:07,505.762919559637,5330.50294328788
44149,508.655776287744,5332.68754662055,22-06-23 08:46:08,505.762919559637,5330.50294328788
44149,508.967496034544,5332.74726908624,22-06-23 09:01:09,505.762919559637,5330.50294328788
44149,508.755764532762,5332.77328345323,22-06-23 09:16:09,505.762919559637,5330.50294328788
44149,508.50608180948,5332.76179190703,22-06-23 09:31:05,505.762919559637,5330.50294328788
44149,508.161900684011,5332.77285005557,22-06-23 09:46:09,505.762919559637,5330.50294328788
44149,507.799031942253,5332.79801931369,22-06-23 10:01:05,505.762919559637,5330.50294328788
44149,507.419364279305,5332.87442941676,22-06-23 10:16:05,505.762919559637,5330.50294328788
44149,507.020881205298,5332.95706591835,22-06-23 10:31:07,505.762919559637,5330.50294328788
44149,506.572051148869,5333.10836212917,22-06-23 10:46:06,505.762919559637,5330.50294328788
44149,506.097391262365,5333.37203752452,22-06-23 11:01:06,505.762919559637,5330.50294328788
44149,505.242622366661,5333.76632479971,22-06-23 11:16:07,505.762919559637,5330.50294328788
44149,504.349970381285,5334.26018931303,22-06-23 11:31:05,505.762919559637,5330.50294328788
44149,504.186950727531,5341.98852973404,22-06-23 11:46:05,505.762919559637,5330.50294328788
44149,504.585416999521,5355.91969099239,22-06-23 12:01:05,505.762919559637,5330.50294328788
44149,502.701979376286,5360.3209267316,22-06-23 12:16:24,505.762919559637,5330.50294328788
44149,501.878102020524,5364.12905966766,22-06-23 12:31:18,505.762919559637,5330.50294328788
44149,501.989682516253,5363.83553953209,22-06-23 12:46:07,505.762919559637,5330.50294328788
44149,501.606614960352,5363.36723678881,22-06-23 13:01:07,505.762919559637,5330.50294328788
44149,501.279981594312,5362.70489793347,22-06-23 13:16:53,505.762919559637,5330.50294328788
44149,501.67114869246,5363.0466871597,22-06-23 13:33:54,505.762919559637,5330.50294328788
44149,500.987924062238,5362.35192577053,22-06-23 14:07:18,505.762919559637,5330.50294328788
44149,500.9285345075,5362.17217990066,22-06-23 14:22:31,505.762919559637,5330.50294328788
44149,500.751927818571,5361.96118371825,22-06-23 14:37:32,505.762919559637,5330.50294328788
44149,500.567598889011,5361.876685361,22-06-23 14:52:30,505.762919559637,5330.50294328788
44149,500.485759374967,5361.79253432586,22-06-23 15:07:31,505.762919559637,5330.50294328788
44149,500.528820966093,5361.88346199387,22-06-23 15:24:41,505.762919559637,5330.50294328788
44149,500.475223520583,5362.11876991885,22-06-23 15:41:31,505.762919559637,5330.50294328788
44149,500.326111019008,5362.18667438936,22-06-23 15:58:32,505.762919559637,5330.50294328788
45653,506.544400750611,5329.96938162583,23-07-13 06:30:49,505.762919559637,5330.50294328788
45653,506.815155826405,5329.76351724317,23-07-13 06:47:48,505.762919559637,5330.50294328788
45653,506.952643181627,5329.49192485342,23-07-13 07:04:47,505.762919559637,5330.50294328788
45653,507.171649044005,5329.33369742801,23-07-13 07:21:52,505.762919559637,5330.50294328788
45653,507.266638265032,5329.19977233257,23-07-13 07:38:51,505.762919559637,5330.50294328788
45653,507.282126977504,5329.13521486489,23-07-13 07:55:50,505.762919559637,5330.50294328788
45653,507.085802847294,5328.93879201827,23-07-13 08:12:55,505.762919559637,5330.50294328788
45653,506.690917583715,5329.08825609967,23-07-13 08:27:51,505.762919559637,5330.50294328788
45653,505.742735192154,5330.37343509836,23-07-13 08:42:55,505.762919559637,5330.50294328788
45653,505.849468401571,5330.64018823922,23-07-13 08:57:53,505.762919559637,5330.50294328788
45653,505.844169226731,5330.65596590889,23-07-13 09:12:51,505.762919559637,5330.50294328788
45653,505.824349110347,5330.46332545828,23-07-13 09:27:52,505.762919559637,5330.50294328788
45653,505.714945485588,5330.40719641055,23-07-13 09:42:52,505.762919559637,5330.50294328788
45653,505.830383681721,5330.60237829775,23-07-13 09:57:52,505.762919559637,5330.50294328788
45653,505.512693840635,5330.25116806491,23-07-13 10:12:52,505.762919559637,5330.50294328788
45653,505.766304776565,5330.46649001158,23-07-13 10:27:53,505.762919559637,5330.50294328788
45653,505.721714679589,5330.4095372877,23-07-13 10:42:52,505.762919559637,5330.50294328788
45653,505.716803464581,5330.40953238202,23-07-13 10:57:54,505.762919559637,5330.50294328788
45653,504.503260694251,5340.54003798048,23-07-13 11:12:52,505.762919559637,5330.50294328788
45653,503.803821458476,5340.78228089927,23-07-13 11:29:53,505.762919559637,5330.50294328788
45653,502.333131278644,5346.21775580009,23-07-13 11:45:39,505.762919559637,5330.50294328788
45653,501.865410923449,5354.57331026596,23-07-13 12:02:43,505.762919559637,5330.50294328788
45653,500.641902106258,5361.83478830034,23-07-13 12:19:43,505.762919559637,5330.50294328788
45653,501.376281643517,5364.38045756319,23-07-13 12:36:46,505.762919559637,5330.50294328788
45653,502.649087760191,5362.46439071281,23-07-13 12:53:47,505.762919559637,5330.50294328788
45653,502.777672990217,5362.80258264405,23-07-13 13:10:55,505.762919559637,5330.50294328788
45653,502.504076570447,5362.08717960185,23-07-13 13:27:44,505.762919559637,5330.50294328788
45653,502.053069063577,5361.41651856685,23-07-13 13:44:47,505.762919559637,5330.50294328788
45653,501.52013024775,5360.87836676179,23-07-13 14:01:47,505.762919559637,5330.50294328788
