,*************************************************************************************,,,,,,,,,,,,,,,
,PathTrack Archival Tracking System Results File,,,,,,,,,,,,,,,
,Created 01.08.23 12:01 PM,,,,,,,,,,,,,,,
,DO NOT MODIFY THIS HEADER,,,,,,,,,,,,,,,
,*************************************************************************************,,,,,,,,,,,,,,,
Order,Day,Month,Year,Hour,Minute,Second,Battery,SVs tracked,latitude,longitude,Height,,,,,
1,13,7,23,4,31,18,16278.4,0,0,0,0,9999.999,9999.999,4.14,0,20
2,13,7,23,4,46,18,17178.4,0,0,0,0,9999.999,9999.999,4.14,0,20
3,13,7,23,5,1,18,18078.4,0,0,0,0,9999.999,9999.999,4.14,0,20
4,13,7,23,5,16,18,18978.4,0,0,0,0,9999.999,9999.999,4.14,0,20
5,13,7,23,5,31,18,19878.4,0,0,0,0,9999.999,9999.999,4.12,0,20
6,13,7,23,5,46,18,20778.4,0,0,0,0,9999.999,9999.999,4.12,0,20
7,13,7,23,6,1,18,21678.4,0,0,0,0,9999.999,9999.999,4.12,0,20
8,13,7,23,6,16,18,22578.4,0,0,0,0,9999.999,9999.999,4.12,0,20
9,13,7,23,6,31,18,23478.4,0,0,0,0,9999.999,9999.999,4.12,0,20
10,13,7,23,6,46,18,24378.4,0,0,0,0,9999.999,9999.999,4.12,0,20
11,13,7,23,7,1,18,25278.4,0,0,0,0,9999.999,9999.999,4.12,0,20
12,13,7,23,7,16,0,26160.3,7,48.122639,-122.913363,-15,9999.999,4.13E-06,4.12,0,20
13,13,7,23,7,31,1,27061.31,7,48.120517,-122.912408,-8,5.305,3.88E-06,4.12,0,20
14,13,7,23,7,46,4,27964.335,5,48.118322,-122.912896,71,5.275,1.16E-06,4.12,0,20
15,13,7,23,8,3,1,28981.445,7,48.117376,-122.91405,-3,4.875,3.72E-06,4.12,0,20
16,13,7,23,8,20,3,30003.495,6,48.115676,-122.916029,-11.5,4.27,3.22E-06,4.12,0,20
17,13,7,23,8,37,19,31039.87,4,48.124906,-122.920583,-11,4.38,4.43E-07,4.12,0,20
18,13,7,23,8,54,4,32044.43,6,48.127054,-122.923331,7.75,4.705,1.06E-06,4.12,0,20
19,13,7,23,9,11,3,33063.455,7,48.126853,-122.923382,14,4.605,3.33E-06,4.12,0,20
20,13,7,23,9,26,3,33963.335,9,48.126987,-122.923208,43.25,4.845,5.28E-06,4.12,0,20
21,13,7,23,9,41,3,34863.325,9,48.127007,-122.923307,32.25,5.45,7.01E-06,4.12,0,20
22,13,7,23,9,56,3,35763.34,9,48.127077,-122.923273,40,5.635,5.81E-06,4.12,0,20
23,13,7,23,10,13,3,36783.495,7,48.120783,-122.916805,-25.75,5.01,4.86E-06,4.1,0,20
24,13,7,23,10,30,4,37804.47,8,48.126928,-122.923049,26.75,4.17,6.31E-06,4.12,0,20
25,13,7,23,10,47,5,38825.49,8,48.127084,-122.923231,35.25,4.06,4.78E-06,4.1,0,20
26,13,7,23,11,4,6,39846.49,8,48.1269,-122.92312,22.25,4.435,5.39E-06,4.1,0,20
27,13,7,23,11,21,9,40869.555,6,48.144611,-122.88967,-79.25,4.71,1.31E-06,4.1,0,20
28,13,7,23,11,38,10,41890.54,6,48.145154,-122.895483,-57.75,4.685,1.39E-06,4.1,0,20
29,13,7,23,11,55,9,42909.555,7,48.145009,-122.900064,-44.25,4.535,2.76E-06,4.12,0,20
30,13,7,23,12,12,11,43931.545,6,48.144807,-122.904055,-29.25,4.475,3.38E-06,4.12,0,20
31,13,7,23,12,29,12,44952.535,6,48.147658,-122.773116,26,4.51,1.72E-06,4.1,0,20
32,13,7,23,12,46,28,45988.51,0,0,0,0,9999.999,9999.999,4.1,0,20
33,13,7,23,13,3,13,46993.57,6,48.164542,-122.785891,12,4.57,1.18E-06,4.1,0,20
34,13,7,23,13,20,14,48014.56,6,48.173278,-122.802587,-23.25,4.595,3.23E-06,4.1,0,20
35,13,7,23,13,37,15,49035.565,6,48.180992,-122.821188,-37.5,4.575,2.94E-06,4.1,0,20
36,13,7,23,13,54,18,50058.515,5,48.185343,-122.838675,-27,4.53,8.03E-07,4.1,0,20
37,13,7,23,14,11,27,51087.98,6,48.189043,-122.849889,86.25,4.725,1.45E-05,4.1,0,20
38,13,7,23,14,28,27,52107.515,5,48.191048,-122.863078,4,4.845,9.96E-07,4.1,0,20
39,13,7,23,14,45,29,53129.995,6,48.19116,-122.878971,-7.25,4.815,1.26E-06,4.1,0,20
40,13,7,23,15,2,26,54146.005,5,48.191284,-122.892061,-7.25,4.985,2.14E-07,4.1,0,20
41,13,7,23,15,19,18,55158.575,6,48.190906,-122.901213,-15,4.875,3.56E-06,4.1,0,20
42,13,7,23,15,36,19,56179.535,6,48.190086,-122.908828,-89.75,4.5,1.18E-06,4.1,0,20
43,13,7,23,15,53,21,57201.55,5,48.188455,-122.915406,-83.75,4.355,4.25E-07,4.1,0,20
44,13,7,23,16,10,20,58220.585,6,48.187002,-122.919745,-80.5,4.495,1.49E-06,4.1,0,20
45,13,7,23,16,27,19,59239.595,6,48.185514,-122.921717,-12,4.66,5.20E-06,4.1,0,20
46,13,7,23,16,44,20,60260.6,7,48.183945,-122.921722,-35,4.68,2.01E-06,4.1,0,20
47,13,7,23,17,1,25,61285.63,5,48.181201,-122.920331,-70,4.625,5.06E-07,4.1,0,20
48,13,7,23,17,18,24,62304.635,6,48.178668,-122.918819,-33.25,4.605,1.77E-06,4.1,0,20
49,13,7,23,17,35,33,63333.005,6,48.177586,-122.917456,-19.75,4.81,7.06E-07,4.1,0,20
50,13,7,23,17,52,37,64357.01,5,48.17536,-122.916163,-23,5.11,8.50E-08,4.1,0,20
51,13,7,23,18,9,35,65375.03,6,48.172945,-122.91552,-40.25,5.17,2.62E-06,4.1,0,20
52,13,7,23,18,26,25,66385.61,6,48.171637,-122.91351,-5.25,4.85,3.73E-06,4.08,0,20
53,13,7,23,18,43,28,67408.62,5,48.169669,-122.911795,-1.25,4.455,1.65E-07,4.1,0,20
54,13,7,23,19,0,27,68427.635,6,48.167668,-122.910552,1.25,4.43,1.93E-06,4.1,0,20
55,13,7,23,19,17,25,69445.61,8,48.164863,-122.907107,-14.5,4.61,3.67E-06,4.08,0,20
56,13,7,23,19,34,27,70467.61,8,48.163,-122.902666,-9.5,4.7,1.86E-06,4.1,0,20
57,13,7,23,19,51,27,71487.62,8,48.162406,-122.897244,4.5,4.66,1.48E-06,4.08,0,20
58,13,7,23,20,8,28,72508.62,7,48.162357,-122.891353,-11.5,4.6,8.46E-07,4.08,0,20
59,13,7,23,20,25,29,73529.63,7,48.161764,-122.885878,-13,4.595,2.67E-06,4.08,0,20
60,13,7,23,20,42,32,74552.635,6,48.160964,-122.880996,-14.5,4.63,1.42E-06,4.1,0,20
61,13,7,23,20,59,35,75575.71,5,48.160529,-122.877157,5.75,4.69,2.46E-07,4.08,0,20
62,13,7,23,21,16,34,76594.66,6,48.159526,-122.873668,3,4.715,8.77E-07,4.08,0,20
63,13,7,23,21,33,43,77623.015,5,48.158201,-122.870783,3.75,4.85,1.19E-07,4.08,0,20
64,13,7,23,21,50,44,78644.01,5,48.157292,-122.868888,-26.5,5.08,6.71E-07,4.08,0,20
65,13,7,23,22,7,49,79669.01,5,48.156555,-122.867103,-6.75,5.125,6.60E-07,4.08,0,20
66,13,7,23,22,24,50,80690.015,5,48.156467,-122.86523,-15.5,5.035,3.92E-07,4.08,0,20
67,13,7,23,22,41,38,81698.605,5,48.156079,-122.859874,-162.75,4.765,4.12E-07,4.08,0,20
68,13,7,23,22,58,37,82717.665,7,48.156433,-122.855381,-6.25,4.5,2.60E-06,4.08,0,20
69,13,7,23,23,15,38,83738.66,6,48.155876,-122.85106,-23.25,4.53,5.00E-06,4.08,0,20
70,13,7,23,23,32,39,84759.66,6,48.154976,-122.847635,-8,4.675,3.92E-06,4.08,0,20
71,13,7,23,23,49,40,85780.715,5,48.154169,-122.844843,-84.75,4.76,8.60E-07,4.08,0,20
72,14,7,23,0,6,44,404.45,5,48.15523,-122.845418,14.25,4.625,1.15E-05,4.08,0,20
73,14,7,23,0,23,46,1426.625,3,0,0,0,9999.999,9999.999,4.08,0,20
74,14,7,23,0,41,0,2460.625,0,0,0,0,9999.999,9999.999,4.08,0,20
