,*************************************************************************************,,,,,,,,,,,,,,,
,PathTrack Archival Tracking System Results File,,,,,,,,,,,,,,,
,Created 01.08.23 12:03 PM,,,,,,,,,,,,,,,
,DO NOT MODIFY THIS HEADER,,,,,,,,,,,,,,,
,*************************************************************************************,,,,,,,,,,,,,,,
Order,Day,Month,Year,Hour,Minute,Second,Battery,SVs tracked,latitude,longitude,Height,,,,,
1,13,7,23,9,5,1,32701.62,6,48.106954,-122.909324,-39.75,9999.999,2.11E-06,4.12,0,20
2,13,7,23,9,25,14,33914.25,6,48.106422,-122.914073,-63.25,5.435,8.95E-07,4.12,0,20
3,13,7,23,9,45,19,35119.615,5,48.10769,-122.918709,-2.75,5.355,2.92E-07,4.12,0,20
4,13,7,23,10,5,21,36321.055,6,48.108068,-122.922175,-28.75,5.295,2.50E-06,4.14,0,20
5,13,7,23,10,25,24,37524.065,6,48.109065,-122.923824,1.25,5.03,1.78E-06,4.14,0,20
6,13,7,23,10,45,25,38725.06,7,48.110267,-122.924966,-10.5,5.43,6.00E-06,4.12,0,20
7,13,7,23,11,5,32,39932.41,5,48.139311,-122.843178,116.25,5.935,1.68E-07,4.14,0,20
8,13,7,23,11,25,39,41139.415,4,48.164088,-122.793696,116,5.665,7.38E-07,4.14,0,20
9,13,7,23,11,45,34,42334.065,5,48.170848,-122.811074,71.25,5.605,2.75E-06,4.14,0,20
10,13,7,23,12,5,36,43536.305,5,48.218496,-122.785265,-9.75,6.155,3.03E-06,4.14,0,20
11,13,7,23,12,26,21,44781.155,3,0,0,0,9999.999,9999.999,4.14,0,20
12,13,7,23,12,46,41,46001.555,5,48.260129,-122.840758,29.5,6.205,3.11E-07,4.14,0,20
13,13,7,23,13,6,57,47217.055,7,48.25968,-122.860866,-33,5.83,3.52E-06,4.12,0,20
14,13,7,23,13,27,28,48448.46,6,48.252927,-122.877107,-27.25,5.57,2.90E-06,4.12,0,20
15,13,7,23,13,47,59,49679.98,5,48.259625,-122.855744,-19,5.59,4.99E-07,4.12,0,20
16,13,7,23,14,8,40,50920.51,4,48.248131,-122.883296,-19,5.255,1.51E-06,4.12,0,20
17,13,7,23,14,28,58,52138.925,5,48.249144,-122.885436,-42.5,5.05,8.82E-07,4.12,0,20
18,13,7,23,14,49,25,53365.7,5,48.252863,-122.877752,-73.5,5.71,2.07E-06,4.12,0,20
19,13,7,23,15,9,51,54591.87,7,48.258543,-122.84237,-34,6.115,2.37E-06,4.12,0,20
20,13,7,23,15,30,41,55841.115,0,0,0,0,9999.999,9999.999,4.12,0,20
21,13,7,23,15,51,8,57068.115,0,0,0,0,9999.999,9999.999,4.12,0,20
22,13,7,23,16,11,27,58287.505,6,48.385908,-122.687898,-22.5,5.89,3.86E-06,4.1,0,20
