ID,time,mu.x,nu.x,mu.y,nu.y,se.mu.x,se.nu.x,se.mu.y,se.nu.y,speed,tod
44072,22-06-24 08:44:42,505934.714231645,31.7220131208923,5330517.48009732,20.0348458846798,360.963987123369,5426.2608673008,360.963987123369,5426.2608673008,37.5190773615894,8.73333333333333
44072,22-06-24 08:59:42,505943.468337856,35.897230748966,5330522.54166336,20.3027928708017,803.202963141945,5364.80419027573,803.202963141945,5364.80419027573,41.240933231429,8.98333333333333
44072,22-06-24 09:14:42,505952.448826451,35.8871535080466,5330527.61777842,20.3025287630104,848.783835849859,5364.08053630816,848.783835849859,5364.08053630816,41.2320319785839,9.23333333333333
44072,22-06-24 09:29:42,505961.152603989,30.8061084685266,5330532.67802544,20.0108415409539,567.516519583351,5383.78454249425,567.516519583351,5383.78454249425,36.7348621632339,9.48333333333333
44072,22-06-24 09:39:33,505961.8610234,-62.6270794701107,5330535.71347762,14.6470643105304,0,5226.98708626681,0,5226.98708626681,64.3170861892264,9.65
44072,22-06-24 09:44:42,505952.403296314,-137.53709524005,5330536.69610879,8.82967814621107,279.046591091882,4303.76288845006,279.046591091882,4303.76288845006,137.820229949149,9.73333333333333
44072,22-06-24 09:54:36,505930.980117617,-79.3316004414632,5330536.12599886,-33.0140228188206,0,4956.26098989954,0,4956.26098989954,85.9268789802444,9.9
44072,22-06-24 09:59:42,505927.590777145,-16.4596971625438,5330531.48674968,-68.5544932603472,271.70756338387,4288.08150575523,271.70756338387,4288.08150575523,70.502767157507,9.98333333333333
44072,22-06-24 10:09:28,505925.568036631,-27.6376923221388,5330516.89171469,-129.500676041465,0,4951.65437000605,0,4951.65437000605,132.417019797644,10.15
44072,22-06-24 10:14:42,505921.959943773,-48.8586729549989,5330503.31836882,-168.812320615944,276.535711979484,4296.10928631943,276.535711979484,4296.10928631943,175.74063137096,10.2333333333333
44072,22-06-24 10:24:31,505915.187822361,-13.8635272167165,5330480.75773935,-42.80514446297,0,4957.5137922148,0,4957.5137922148,44.9941971745732,10.4
44072,22-06-24 10:29:42,505915.822366224,20.3996658749616,5330483.36141781,77.0210373106055,275.699111351488,4303.91647223782,275.699111351488,4303.91647223782,79.6767629626841,10.4833333333333
44072,22-06-24 10:39:36,505921.038393717,46.977105810415,5330507.77285657,284.083520925056,0,4953.45879159199,0,4953.45879159199,287.941479004849,10.65
44072,22-06-24 10:44:42,505925.503158874,49.4381953173171,5330539.28220239,413.483182271804,271.968748204642,4291.84272778022,271.968748204642,4291.84272778022,416.428237728725,10.7333333333333
44072,22-06-24 10:54:30.000008,505916.79108414,-319.45100904555,5330585.46122878,-107.466450222573,0,4953.88120568106,0,4953.88120568106,337.043001861278,10.9
44072,22-06-24 10:59:42,505875.126423656,-522.725598707388,5330551.57665542,-548.145615315783,276.210064986778,4304.34362011213,276.210064986778,4304.34362011213,757.433605759552,10.9833333333333
44072,22-06-24 11:09:36,505928.208210602,2596.65916122783,5330482.32728379,89.9612818264305,0,4956.12055946988,0,4956.12055946988,2598.21704863475,11.15
44072,22-06-24 11:14:42,506280.833393547,4935.45214344931,5330521.44024444,658.005157059753,272.725136355269,4300.68552675036,272.725136355269,4300.68552675036,4979.12227676682,11.2333333333333
44072,22-06-24 11:24:35.000008,506753.469765281,-3463.83910322169,5330576.27249878,-746.522983913498,0,4950.74974120082,0,4950.74974120082,3543.37097952201,11.4
44072,22-06-24 11:29:42,506068.655280107,-10609.7968467681,5330446.0178346,-1959.95465927504,272.352712488787,4290.47736271851,272.352712488787,4290.47736271851,10789.3100519035,11.4833333333333
44072,22-06-24 11:39:29,504594.466449332,-2103.79581209699,5330192.56052783,-18.0456189035632,0,4957.12941126213,0,4957.12941126213,2103.87320515245,11.65
44072,22-06-24 11:44:42,504877.459767267,6361.8291938017,5330291.8128267,1797.26861227128,277.694076278195,4314.11474117228,277.694076278195,4314.11474117228,6610.82787219295,11.7333333333333
44072,22-06-24 11:54:35.000008,505904.263579558,2550.89496084563,5330539.09939373,14.9310101977453,0,5148.39120502706,0,5148.39120502706,2550.93865789304,11.9
44072,22-06-24 11:59:42,505863.047206521,-2318.88849570897,5330442.0533623,-1834.93773675138,334.553433699312,5097.56716483461,334.553433699312,5097.56716483461,2957.06617330179,11.9833333333333
44072,22-06-24 12:14:42,505016.39399866,-3755.0258355346,5329889.93531009,-2227.57014380799,486.702167654922,4978.74100551535,486.702167654922,4978.74100551535,4366.03799469462,12.2333333333333
44072,22-06-24 12:24:21,504320.828050136,-5719.67132790091,5329618.93351435,-328.726170234903,0,5145.3233134566,0,5145.3233134566,5729.10996527463,12.4
44072,22-06-24 12:29:42,503708.130682657,-7743.59045360958,5329679.03662115,1252.32466411919,281.845702468567,4281.15708658302,281.845702468567,4281.15708658302,7844.20232895574,12.4833333333333
