,*************************************************************************************,,,,,,,,,,,,,,,
,PathTrack Archival Tracking System Results File,,,,,,,,,,,,,,,
,Created 01.08.23 12:25 PM,,,,,,,,,,,,,,,
,DO NOT MODIFY THIS HEADER,,,,,,,,,,,,,,,
,*************************************************************************************,,,,,,,,,,,,,,,
Order,Day,Month,Year,Hour,Minute,Second,Battery,SVs tracked,latitude,longitude,Height,,,,,
1,13,7,23,14,41,10,52870.9,0,0,0,0,9999.999,9999.999,4.04,0,20
2,13,7,23,14,56,10,53770.9,0,0,0,0,9999.999,9999.999,4.02,0,20
3,13,7,23,15,11,10,54670.9,0,0,0,0,9999.999,9999.999,4.04,0,20
4,13,7,23,15,26,10,55570.9,0,0,0,0,9999.999,9999.999,4.04,0,20
5,13,7,23,15,41,10,56470.9,0,0,0,0,9999.999,9999.999,4.04,0,20
6,13,7,23,15,56,10,57370.9,0,0,0,0,9999.999,9999.999,4.02,0,20
7,13,7,23,16,12,54,58374.82,6,48.127981,-122.920039,-82.5,9999.999,2.12E-06,4.02,0,20
8,13,7,23,16,29,56,59396.84,5,48.12459,-122.916489,-59.5,3.83,5.31E-07,4.02,0,20
9,13,7,23,16,46,52,60412.92,6,48.127287,-122.920325,-36.75,3.845,1.65E-06,4.04,0,20
10,13,7,23,17,4,2,61442.005,5,48.127359,-122.920264,-29.25,3.97,4.80E-07,4.02,0,20
11,13,7,23,17,20,55,62455.92,5,48.127718,-122.920218,-36.75,4.025,5.87E-07,4.02,0,20
12,13,7,23,17,37,55,63475.925,5,48.12741,-122.920373,-19.75,3.95,4.81E-07,4.04,0,20
13,13,7,23,17,55,0,64500.98,5,48.127178,-122.920535,-23.5,3.915,2.53E-07,4.02,0,20
14,13,7,23,18,11,51,65511.965,7,48.127161,-122.920407,-1.5,3.955,1.63E-06,4.04,0,20
15,13,7,23,18,28,44,66524.965,7,48.127138,-122.920439,-30.25,3.985,3.99E-06,4.04,0,20
16,13,7,23,18,44,16,67456.095,5,48.127282,-122.920372,1.75,4.045,2.67E-07,4.02,0,20
17,13,7,23,19,1,13,68473.935,6,48.128059,-122.920298,-44.25,4.045,9.61E-07,4.04,0,20
18,13,7,23,19,18,13,69493.975,6,48.127309,-122.92041,-10.5,3.955,1.58E-06,4.02,0,20
19,13,7,23,19,35,11,70511.955,7,48.127362,-122.920406,-6.25,3.92,1.35E-06,4.02,0,20
20,13,7,23,19,52,11,71531.88,7,48.123533,-122.923144,-2.5,3.9,1.35E-06,4.02,0,20
21,13,7,23,20,9,13,72553,7,48.127291,-122.920434,-8.75,3.93,9.66E-07,4.02,0,20
22,13,7,23,20,26,22,73582.96,6,48.127263,-122.920158,-13.25,3.995,1.19E-06,4.02,0,20
23,13,7,23,20,43,12,74592.965,7,48.127328,-122.920298,-1,3.995,2.18E-06,4.02,0,20
24,13,7,23,21,0,13,75613.995,6,48.127233,-122.920475,5.25,3.98,1.18E-06,4.02,0,20
25,13,7,23,21,17,8,76628.04,6,48.12735,-122.920323,-1.25,4.01,5.85E-07,4.02,0,20
26,13,7,23,21,34,15,77655.02,5,48.1273,-122.920103,-5.25,4.045,3.43E-07,4.02,0,20
27,13,7,23,21,51,7,78667.005,6,48.127298,-122.920273,-9.75,4.03,1.20E-06,4.02,0,20
28,13,7,23,22,8,23,79703.03,0,0,0,0,9999.999,9999.999,4.02,0,20
29,13,7,23,22,25,4,80704.95,7,48.124809,-122.921091,-8.75,3.97,4.69E-06,4.02,0,20
30,13,7,23,22,42,7,81727.02,6,48.127414,-122.920167,-3.25,3.955,2.43E-06,4.02,0,20
31,13,7,23,22,59,9,82749.015,5,48.127352,-122.920494,-12.25,4.01,3.02E-07,4.02,0,20
32,13,7,23,23,16,4,83764.98,6,48.127297,-122.920544,27.75,4.025,7.85E-06,4.02,0,20
33,13,7,23,23,33,6,84786.955,5,48.100326,-122.962487,-65.5,3.975,8.26E-07,4.02,0,20
34,13,7,23,23,50,22,85822.975,0,0,0,0,9999.999,9999.999,4.02,0,20
35,14,7,23,0,7,7,427.025,5,48.100516,-122.966781,-63.5,3.965,7.61E-08,4.02,0,20
36,14,7,23,0,24,7,1447.005,4,48.10122,-122.969263,-63,4.01,2.98E-07,4.02,0,20
37,14,7,23,0,41,5,2465.07,4,48.100419,-122.968731,-63,4.06,1.97E-07,4.02,0,20
38,14,7,23,0,58,13,3493.24,4,48.104311,-122.97414,-63,3.68,4.35E-07,4,0,20
39,14,7,23,1,15,4,4504.91,4,48.100011,-122.96909,-63,9999.999,3.85E-07,4,0,20
40,14,7,23,1,32,9,5529.48,4,48.092542,-122.986952,-63,4.195,3.53E-07,4,0,20
41,14,7,23,1,49,6,6546.035,6,48.100902,-122.978698,-8.25,4.515,1.80E-06,4.02,0,20
42,14,7,23,2,6,5,7565.105,4,48.100916,-122.985879,-8,4.23,3.13E-07,4,0,20
43,14,7,23,2,23,5,8585.37,4,48.098852,-122.982687,-8,4.095,5.20E-07,4,0,20
44,14,7,23,2,40,6,9606.995,5,48.100935,-122.987802,-21.75,4.115,7.19E-07,4,0,20
45,14,7,23,2,57,6,10626.985,6,48.099265,-122.989517,-15.5,4,1.02E-06,4,0,20
46,14,7,23,3,14,6,11647,4,48.097066,-122.989696,-15,3.935,1.79E-07,4,0,20
47,14,7,23,3,31,22,12682.935,0,0,0,0,9999.999,9999.999,4,0,20
48,14,7,23,3,48,6,13686.735,5,48.095329,-122.979561,-3.25,3.835,5.98E-07,4,0,20
49,14,7,23,4,5,7,14707.055,6,48.098595,-122.981199,-10,3.845,1.54E-06,4,0,20
50,14,7,23,4,22,9,15729.055,5,48.139224,-122.977259,-16.25,4.06,4.68E-07,4,0,20
51,14,7,23,4,39,8,16748.08,5,48.138185,-122.974326,-1.25,4.175,2.41E-07,4,0,20
52,14,7,23,4,56,10,17770.495,5,48.137427,-122.97217,-1.5,3.845,6.57E-07,4,0,20
